Assessment Name,URL,Remote Testing Support,Adaptive/IRT Support,Duration,Test Type,Explanation
Accounts Receivable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,Yes,No,8,S,"The SHL Accounts Receivable Simulation (New) is a computer-based test designed to assess your abilities in managing accounts receivable – basically, the money owed to a company by its customers.  Imagine you're working in a finance department and have to deal with customer invoices, payments, and outstanding debts.  The simulation presents you with various scenarios mimicking real-world situations. You'll have to make decisions about chasing late payments, prioritizing tasks, and managing your workload efficiently.

In simpler terms, it's like a realistic video game where your decisions affect your ""performance"" as an accounts receivable manager. You'll be judged on how well you handle the workload and make financially sound choices.


Key skills evaluated include:

* **Prioritization:**  Deciding which tasks are most urgent and important.  Do you chase the biggest overdue payments first, or the easiest to collect?
* **Time Management:** Managing your time effectively within the given timeframe of the simulation to complete all the tasks.
* **Decision-Making:** Making sound judgments about how to handle different customer situations and payment issues.
* **Problem-Solving:** Identifying and resolving problems related to outstanding invoices and payment delays.
* **Organizational Skills:** Keeping track of numerous invoices, payments, and customer interactions.


The simulation aims to see how you would perform in a real-world accounts receivable role, not just your knowledge of accounting principles.  It's a practical test of your abilities, not a theoretical exam.
"
ADO.NET (New),https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,Yes,No,10,K,"The SHL Assessment ""ADO.NET (New)"" is a technical skills test focusing on your knowledge and understanding of ADO.NET, a Microsoft technology used to access and manipulate data in databases from .NET applications.  Think of it as a test of your ability to ""talk"" to databases using C# or VB.NET code.

In simple terms, it evaluates how well you can:

* **Connect to databases:**  Establish a connection to a database (like SQL Server, Oracle, etc.) using ADO.NET.
* **Execute queries:**  Write code to send SQL commands (like SELECT, INSERT, UPDATE, DELETE) to the database and retrieve results.
* **Handle data:** Process the data returned from the database, often storing it in objects or collections within your application.
* **Manage transactions:** Ensure data integrity by performing operations atomically (all succeed or all fail).
* **Handle errors:**  Gracefully manage potential issues like database connection problems or SQL errors.
* **Understand data access patterns:**  Demonstrate knowledge of different ways to access data (e.g., using DataReaders, DataAdapters, or Object-Relational Mappers – ORMs).


**Key skills evaluated:**

* **Programming skills (C# or VB.NET):**  You'll need a strong understanding of the programming language used to interact with ADO.NET.
* **SQL knowledge:**  A solid understanding of SQL commands is essential to formulate the queries that retrieve or manipulate data.
* **Database concepts:**  Familiarity with database structures, relationships, and transactions is crucial.
* **Error handling and debugging:**  The ability to identify and resolve errors in database interactions is tested.
* **ADO.NET components:**  Knowledge of different ADO.NET classes and their roles (e.g., `SqlConnection`, `SqlCommand`, `SqlDataReader`, `DataAdapter`).


Essentially, the test assesses whether you possess the technical skills necessary to develop .NET applications that interact with databases effectively.  It's not about memorizing syntax, but rather demonstrating a practical understanding of the concepts and the ability to apply them to solve common data access problems.
"
Adobe Experience Manager (New),https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/,Yes,No,17,K,"The SHL Assessment for Adobe Experience Manager (AEM) (New) is a test designed to see if you have the right skills and knowledge to work with Adobe Experience Manager, a popular software for creating and managing websites and digital experiences.  Think of it as a quiz to see how well you understand AEM.

In simple terms, the assessment checks if you know how to:

* **Build and manage websites using AEM:** This includes understanding AEM's architecture, how to create and edit pages, and how to manage content.
* **Work with AEM's features:**  This covers things like templates, components, workflows, and digital asset management.  It might test your understanding of how these features work together.
* **Use AEM's tools and interfaces:** You'll be assessed on your familiarity with the AEM interface and its various tools.
* **Understand AEM's underlying technologies:** This could include knowledge of Java,  CQ (the older name for AEM), or other related technologies.  The depth of this depends on the role.

**Key skills evaluated:**

* **Technical Skills:** Knowledge of AEM features, functionalities, and underlying technologies.
* **Problem-Solving Skills:** Ability to troubleshoot issues and find solutions within the AEM environment.
* **Understanding of Web Development Concepts:** Familiarity with web technologies like HTML, CSS, and JavaScript (although the level of depth required varies).
* **Content Management Skills:**  Experience with organizing, creating, and publishing digital content.


Essentially, the test aims to gauge your suitability for a role requiring AEM expertise. The specific content and difficulty level will depend on the seniority of the position you're applying for.  A junior role will have less technical emphasis than a senior developer role.
"
Adobe Photoshop CC,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/,Yes,Yes,20,K,"The SHL assessment ""Adobe Photoshop CC"" isn't a single, standardized test.  There's no official SHL-branded ""Adobe Photoshop CC"" assessment.  SHL creates *customized* assessments for companies, and  a Photoshop-related test would be part of a larger skills assessment designed specifically for a job requiring Photoshop skills.

If a company uses SHL and *includes* a Photoshop component in their assessment, it would likely be a practical test evaluating your ability to use Photoshop to perform tasks relevant to the job.  It wouldn't be a theoretical knowledge test.  Key skills evaluated could include:

* **Image manipulation:** Cropping, resizing, rotating, adjusting brightness/contrast, color correction.
* **Layer management:** Working with multiple layers, blending modes, layer masks.
* **Selection tools:** Using tools like the lasso, marquee, and magic wand to select specific areas of an image.
* **Retouching:** Removing blemishes, enhancing details, correcting imperfections.
* **Image composition:** Combining multiple images to create a cohesive whole.
* **Use of specific tools/filters:** Depending on the job, it might test knowledge of specific tools or filters relevant to that role (e.g., healing brush, clone stamp, specific filters).

Essentially, the test would present you with a series of image editing tasks and assess how efficiently and accurately you can complete them using Photoshop. The complexity of the tasks would depend on the required skill level for the position.
"
Aeronautical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/,Yes,No,10,K,"The SHL Aeronautical Engineering (New) assessment is a test designed to see if you have the right skills and knowledge for a job in aeronautical engineering.  Think of it as a screening tool to help companies quickly identify candidates who are a good fit.

In simple terms, it's likely to cover the fundamental principles of aeronautical engineering, your problem-solving abilities using relevant concepts, and potentially your knowledge of specific software or tools commonly used in the field (depending on the specific job).  It won't be a super in-depth technical exam, but it will assess your foundational understanding and ability to apply it.

Key skills evaluated likely include:

* **Technical Knowledge:**  Understanding of basic aerodynamics, flight mechanics, structural analysis, propulsion systems, etc.  This will likely be tested through scenario-based questions or multiple choice questions.
* **Problem-Solving Skills:**  Ability to analyze engineering problems, identify key factors, and develop logical solutions.  Expect questions involving calculations, design choices, or troubleshooting scenarios.
* **Numerical Reasoning:**  Ability to interpret and work with numerical data.  This might involve interpreting charts, graphs, or performing simple calculations related to engineering principles.
* **Logical Reasoning:**  Ability to think critically and deduce conclusions from given information.  This tests your ability to tackle complex issues systematically.
* **Spatial Reasoning:** (Possibly) Depending on the specific role, you might encounter questions assessing your ability to visualize three-dimensional objects and understand their relationships.


Essentially, the test aims to gauge whether you possess a solid foundation in aeronautical engineering and the analytical skills needed to succeed in the field.  It's designed to filter out candidates who lack the necessary core competencies, not to test expert-level knowledge.
"
Aerospace Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/,Yes,No,10,K,"The SHL Aerospace Engineering (New) assessment is a test designed to see if you're a good fit for an aerospace engineering role.  It doesn't test your actual engineering knowledge (like designing a plane), but instead focuses on the *thinking skills* crucial for success in the job.  Think of it as a way to measure your potential.

In simpler terms, it checks how well you can:

* **Solve problems:**  This includes logical reasoning,  identifying patterns, and finding solutions to complex situations.  They might give you word problems, diagrams, or sequences to figure out.
* **Think critically:**  This means analyzing information objectively, identifying assumptions, and evaluating arguments. Can you spot flaws in reasoning or identify the most important facts?
* **Understand technical information:** While not deeply technical, you'll need to understand and interpret data presented in various formats, showing your ability to grasp and process technical concepts.

**Key skills evaluated:**

* **Logical Reasoning:**  Ability to think systematically and draw conclusions from given information.
* **Numerical Reasoning:** Ability to understand and interpret numerical data, perform calculations, and solve problems involving numbers.
* **Verbal Reasoning:**  Ability to understand and analyze written information, identify key arguments, and draw inferences from text.
* **Spatial Reasoning (potentially):** Depending on the specific test, there might be sections assessing your ability to visualize and manipulate 3D objects.  This is relevant to aerospace engineering's design aspects.


Essentially, it's not about knowing the specific equations or software used in aerospace engineering, but whether you have the intellectual capacity and problem-solving skills to *learn* and apply them successfully.
"
Agile Software Development,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,Yes,No,7,K,"The SHL Agile Software Development assessment is a test designed to see how well you understand and could apply the principles of Agile software development.  It's not about coding; instead, it focuses on your knowledge of Agile methodologies (like Scrum or Kanban) and your ability to think like an Agile practitioner.

In simple terms, imagine you're building a Lego castle.  The test assesses whether you understand how to work in a flexible, collaborative team to build the castle in small, manageable stages, adapting to changes and customer feedback along the way (instead of rigidly following a pre-planned, massive blueprint that might be outdated by the time it's finished).

Key skills evaluated include:

* **Understanding of Agile principles:** Knowing what Agile is, its core values (like individuals and interactions over processes and tools), and its benefits.
* **Knowledge of Agile methodologies:** Familiarity with Scrum (sprints, daily stand-ups, retrospectives), Kanban (visualizing workflow), and other Agile frameworks.
* **Problem-solving in an Agile context:**  Being able to identify and solve problems that might arise in an Agile project, like managing changing requirements or resolving team conflicts.
* **Prioritization and planning:**  Understanding how to prioritize tasks, plan sprints, and manage a backlog effectively.
* **Collaboration and teamwork:** Recognizing the importance of teamwork, communication, and shared responsibility in an Agile environment.


The test might present scenarios, questions, or even short simulations related to Agile projects, requiring you to choose the best course of action based on Agile principles.  It's less about memorizing definitions and more about demonstrating your practical understanding and application of Agile concepts.
"
Agile Testing (New),https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/,Yes,No,13,K,"The SHL Agile Testing (New) assessment is a test designed to see how well you understand and can apply the principles of agile testing in a software development context.  It's not about testing your *technical* coding skills, but rather your *knowledge* of agile methodologies and how they influence the testing process.

In simple terms, it checks if you know how agile testing differs from traditional testing methods.  Agile emphasizes flexibility, collaboration, and rapid iteration, and this assessment will evaluate your understanding of how those principles affect the testing approach.

Key skills evaluated include:

* **Understanding of Agile Principles:**  Knowing what agile is, its core values (like collaboration and responding to change), and how it differs from waterfall methodologies.
* **Agile Testing Techniques:** Familiarity with techniques like test-driven development (TDD), acceptance test-driven development (ATDD), and exploratory testing.  It assesses if you understand *when* to use which technique.
* **Collaboration and Communication:** Agile is team-oriented.  The assessment might test your understanding of how testers interact with developers, product owners, and other stakeholders.
* **Prioritization and Time Management:** Agile involves working in short sprints.  The assessment might present scenarios requiring you to prioritize testing tasks based on risk and value.
* **Adaptability and Problem-Solving:**  Agile projects are dynamic.  The assessment might assess your ability to adapt to changing requirements and solve problems collaboratively.
* **Risk Assessment and Management:** Identifying potential risks and developing strategies to mitigate them is crucial in agile. This is another key aspect evaluated.


Essentially, the test gauges your ability to be an effective and contributing member of an agile testing team. It doesn't require you to write code or execute specific testing tools, but to demonstrate your understanding of the *process* and *mindset* of agile software testing.
"
AI Skills,https://www.shl.com/solutions/products/product-catalog/view/ai-skills/,Yes,No,16,P,"The SHL AI Skills assessment tests your understanding of and ability to apply core concepts related to Artificial Intelligence (AI).  It's not about coding or building AI systems from scratch; instead, it focuses on your *knowledge* of AI principles and your ability to *reason* using those principles.

Think of it as a general knowledge test about AI, but one that goes beyond simple definitions.  It evaluates your grasp of how AI works and how it can be applied to solve problems.

Key skills evaluated include:

* **Understanding of core AI concepts:** This includes things like machine learning (supervised, unsupervised, reinforcement), deep learning, neural networks, natural language processing (NLP), computer vision, and bias in AI.  You'll need to understand what these are and how they relate to each other.

* **Problem-solving with AI:**  Questions might present you with a problem and ask you how an AI approach could be used to solve it. This requires you to identify which AI technique would be most appropriate and justify your choice.

* **Critical thinking and logical reasoning:**  You'll need to analyze information, identify patterns, and draw conclusions based on your AI knowledge.  This isn't about memorizing facts; it's about applying your understanding.

* **Data interpretation:** Some questions might involve interpreting data sets to understand the potential effectiveness of different AI solutions.


In short, the SHL AI Skills assessment aims to gauge your potential to work in or contribute to roles involving AI, even if you aren't an AI specialist.  It's about demonstrating a foundational understanding and a problem-solving mindset related to AI.
"
Amazon Web Services (AWS) Development (New),https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,Yes,No,6,K,"The SHL Assessment ""Amazon Web Services (AWS) Development (New)"" is a test designed to see how well you understand and can apply your knowledge of developing applications on Amazon's cloud platform, AWS.  Think of it as a quiz to check if you're a good fit for a job that requires AWS skills.

In simple terms, it assesses your ability to:

* **Design and architect applications on AWS:**  This means knowing which AWS services (like EC2, S3, Lambda, etc.) to use for different parts of an application and how to connect them effectively.  It's less about coding specific functions and more about the overall structure and choice of services.

* **Understand core AWS concepts:** This includes things like security (IAM roles, access control), networking (VPCs, subnets), databases (RDS, DynamoDB), and deployment (using services like Elastic Beanstalk or CodePipeline).

* **Solve practical problems using AWS:**  Expect questions that present a scenario (e.g., ""You need a highly scalable database for a new application..."") and ask you to choose the best AWS services and configuration to meet the requirements.

**Key skills evaluated:**

* **AWS Service Knowledge:**  Familiarity with a wide range of AWS services and their functionalities.
* **Architectural Design:**  Ability to design scalable, reliable, and cost-effective cloud applications.
* **Problem-Solving:**  Capacity to analyze problems and propose appropriate AWS-based solutions.
* **Understanding of Cloud Concepts:**  Grasp of core cloud computing principles, such as scalability, availability, and security.


The assessment isn't about detailed coding or intricate configurations, but rather about your strategic understanding of how to build and deploy applications effectively *using* AWS.  It's about showing you can make smart, informed decisions when choosing and utilizing AWS services.
"
Android Development (New),https://www.shl.com/solutions/products/product-catalog/view/android-development-new/,Yes,No,7,K,"The SHL Android Development (New) assessment is a test designed to see how well you know how to build Android apps.  Imagine it as a practical exam, but on a computer.  It doesn't involve building a full app from scratch, but instead presents coding challenges and questions focused on specific Android development concepts.

In simpler terms: it checks if you have the necessary skills to be an Android developer.  It won't ask you to design the entire user interface of an app, but it will test your understanding of core programming concepts *as they apply to Android*.

**Key skills evaluated typically include:**

* **Java or Kotlin:**  Proficiency in at least one of these programming languages, which are commonly used for Android development.  This includes understanding data structures, algorithms, and object-oriented programming principles.
* **Android SDK (Software Development Kit):** Knowledge of Android-specific tools, libraries, and APIs (Application Programming Interfaces). This means understanding how to use things like Activities, Fragments, Intents, and Views to build the app's structure and functionality.
* **UI/UX Principles (basic):**  While not a deep dive into design, you'll likely be tested on your understanding of creating basic user interfaces and how to make them functional and somewhat user-friendly.
* **Problem-solving:**  Many questions will be presented as coding problems that require you to write or debug code snippets to solve specific tasks related to Android development.
* **Debugging:** Identifying and fixing errors in code is a crucial skill for any developer, and this will likely be tested.


Essentially, the assessment aims to filter candidates who possess a foundational understanding of Android development from those who don't.  It's not about being a senior Android developer, but rather demonstrating a solid grasp of the fundamentals.
"
